Neighborho,Neighbor_1,Neighbor_2,Venue,Venue Lati,Venue Long,Venue Cate,CVEGEO,CVE_AGEB,CVE_ENT,CVE_LOC,CVE_MUN
2DA  JALALPA TEPITO (AMPL),19.375654708100001,-99.233207196899997,Total Body fitness center,19.377244603311727,-99.231134718810253,Gym,"0901000010440","0440","09","0001","010"
2DA  JALALPA TEPITO (AMPL),19.375654708100001,-99.233207196899997,"Tlacoyos ""polo""",19.377723862604881,-99.231143511272379,Fast Food Restaurant,"0901000010440","0440","09","0001","010"
2DA  JALALPA TEPITO (AMPL),19.375654708100001,-99.233207196899997,Campo De Futbol Jalalpa,19.374624128492567,-99.237176722575214,Soccer Field,"0901000010440","0440","09","0001","010"
2DA  JALALPA TEPITO (AMPL),19.375654708100001,-99.233207196899997,Carnitas Nacho,19.371821000000001,-99.230726000000004,Taco Place,"0901000010440","0440","09","0001","010"
ESTADO DE HIDALGO_,19.364443682699999,-99.241681086800000,Starbucks,19.365002201378754,-99.243962594775240,Coffee Shop,"0901000010667","0667","09","0001","010"
ESTADO DE HIDALGO_,19.364443682699999,-99.241681086800000,Carnitas Tamaulipas 1190,19.365283505618187,-99.243887578743156,Taco Place,"0901000010667","0667","09","0001","010"
ESTADO DE HIDALGO_,19.364443682699999,-99.241681086800000,"La Salle, Unidad Deportiva Santa Lucia",19.366259079073917,-99.240363955187291,Soccer Field,"0901000010667","0667","09","0001","010"
ESTADO DE HIDALGO_,19.364443682699999,-99.241681086800000,El Lago de los Patos,19.364521404561600,-99.245345026645793,Taco Place,"0901000010667","0667","09","0001","010"
ESTADO DE HIDALGO_,19.364443682699999,-99.241681086800000,La Barda,19.364602837314717,-99.245234510537088,Burger Joint,"0901000010667","0667","09","0001","010"
ESTADO DE HIDALGO_,19.364443682699999,-99.241681086800000,Booth Nespresso ( Centro Comercial Santa Fe),19.365224317518948,-99.244103296721903,Café,"0901000010667","0667","09","0001","010"
SAN CLEMENTE,19.349309225399999,-99.226217872500001,Santa Clara,19.349066971124540,-99.226416842518617,Ice Cream Shop,090100001181A,181A,"09","0001","010"
SAN CLEMENTE,19.349309225399999,-99.226217872500001,Hípico Las Águilas,19.349419820845750,-99.224194709831835,Farm,090100001181A,181A,"09","0001","010"
SAN CLEMENTE,19.349309225399999,-99.226217872500001,Little Caesars Pizza,19.349884971174347,-99.222882208009196,Pizza Place,090100001181A,181A,"09","0001","010"
SAN CLEMENTE,19.349309225399999,-99.226217872500001,Barbacoa De Santiago,19.349005196805088,-99.226429342640870,Taco Place,090100001181A,181A,"09","0001","010"
SAN CLEMENTE,19.349309225399999,-99.226217872500001,El Globo,19.349949729881672,-99.222782005626698,Bakery,090100001181A,181A,"09","0001","010"
SAN CLEMENTE,19.349309225399999,-99.226217872500001,Farmacia del Ahorrro,19.349713212881227,-99.223660114100795,Drugstore,090100001181A,181A,"09","0001","010"
SAN CLEMENTE,19.349309225399999,-99.226217872500001,Alberca La Cuesta,19.345806002625046,-99.225236833381018,Pool,090100001181A,181A,"09","0001","010"
SAN CLEMENTE,19.349309225399999,-99.226217872500001,Mercado De Los Domingos,19.349653589736487,-99.223337611789702,Food Court,090100001181A,181A,"09","0001","010"
SAN CLEMENTE,19.349309225399999,-99.226217872500001,BBVA Bancomer,19.348116640878299,-99.230762837188422,ATM,090100001181A,181A,"09","0001","010"
SAN CLEMENTE,19.349309225399999,-99.226217872500001,Kazoku Maki,19.348930939744299,-99.226789071353664,Sushi Restaurant,090100001181A,181A,"09","0001","010"
SAN CLEMENTE,19.349309225399999,-99.226217872500001,Las Criminales,19.350007418022702,-99.221889426750039,Burger Joint,090100001181A,181A,"09","0001","010"
SAN CLEMENTE,19.349309225399999,-99.226217872500001,Sky-Gym Family Fitness Center Las Aguilas,19.348753495430412,-99.228345216086282,Gym,090100001181A,181A,"09","0001","010"
SAN CLEMENTE,19.349309225399999,-99.226217872500001,7- Eleven,19.349829114876499,-99.223070095193137,Convenience Store,090100001181A,181A,"09","0001","010"
SAN CLEMENTE,19.349309225399999,-99.226217872500001,7- Eleven,19.348360276948913,-99.230045340837762,Convenience Store,090100001181A,181A,"09","0001","010"
SAN CLEMENTE,19.349309225399999,-99.226217872500001,Plaza Caryali,19.349112749502293,-99.226426563349719,Shopping Mall,090100001181A,181A,"09","0001","010"
SAN CLEMENTE,19.349309225399999,-99.226217872500001,Steren Las Aguilas,19.348197370037347,-99.229888916015625,Electronics Store,090100001181A,181A,"09","0001","010"
SAN CLEMENTE,19.349309225399999,-99.226217872500001,Sky Gym - Aguilas,19.348829408371792,-99.228401446626009,Gym,090100001181A,181A,"09","0001","010"
SAN CLEMENTE,19.349309225399999,-99.226217872500001,Cerro de las Águilas,19.347106420061770,-99.229330930501987,Ski Area,090100001181A,181A,"09","0001","010"
SAN CLEMENTE,19.349309225399999,-99.226217872500001,Casa Barba,19.349318644440856,-99.225300113260218,Department Store,090100001181A,181A,"09","0001","010"
SAN CLEMENTE,19.349309225399999,-99.226217872500001,Iusacell,19.348414983229649,-99.229834780347844,Electronics Store,090100001181A,181A,"09","0001","010"
SAN CLEMENTE,19.349309225399999,-99.226217872500001,Mr. Lucho,19.348656389036325,-99.229238935552431,Bar,090100001181A,181A,"09","0001","010"
SAN CLEMENTE,19.349309225399999,-99.226217872500001,seven eleven las aguilas,19.348438820368404,-99.230012672522449,Convenience Store,090100001181A,181A,"09","0001","010"
SAN CLEMENTE,19.349309225399999,-99.226217872500001,La bamba Ostoniería Y Mariisquería,19.350297982641806,-99.221608738225981,Seafood Restaurant,090100001181A,181A,"09","0001","010"
VILLA SOLIDARIDAD,19.383401538099999,-99.219292384400006,Mariscos El Galeon,19.387044442927373,-99.217636794048943,Seafood Restaurant,"0901000011951","1951","09","0001","010"
VILLA SOLIDARIDAD,19.383401538099999,-99.219292384400006,Mariscos Tamiahua,19.386910204780325,-99.217720079308037,Seafood Restaurant,"0901000011951","1951","09","0001","010"
VILLA SOLIDARIDAD,19.383401538099999,-99.219292384400006,"Alberca Semiolimpica ""El mago Septiém""",19.384169831937605,-99.222877359944661,Pool,"0901000011951","1951","09","0001","010"
VILLA SOLIDARIDAD,19.383401538099999,-99.219292384400006,Ferrusca's,19.386657048689500,-99.221128930311053,Laser Tag,"0901000011951","1951","09","0001","010"
VILLA SOLIDARIDAD,19.383401538099999,-99.219292384400006,Quadra Vieja,19.386998478818416,-99.221891659888755,Mexican Restaurant,"0901000011951","1951","09","0001","010"
TEPOPOTLA,19.362127920100001,-99.251762991099994,Starbucks,19.360689217353407,-99.251928875249448,Coffee Shop,"0901000010864","0864","09","0001","010"
TEPOPOTLA,19.362127920100001,-99.251762991099994,Krispy Kreme Ampliación  Santa fe,19.361140881810066,-99.252156185531817,Donut Shop,"0901000010864","0864","09","0001","010"
TEPOPOTLA,19.362127920100001,-99.251762991099994,Jardin de El Refugio en La Loma de Santa Fe,19.364557423654649,-99.254331901987911,Garden,"0901000010864","0864","09","0001","010"
TEPOPOTLA,19.362127920100001,-99.251762991099994,Carnitas El Amigo,19.362089543565318,-99.248768246111993,Mexican Restaurant,"0901000010864","0864","09","0001","010"
TEPOPOTLA,19.362127920100001,-99.251762991099994,Le Caroz (Lecaroz),19.362991135534831,-99.248471943509969,Dessert Shop,"0901000010864","0864","09","0001","010"
TEPOPOTLA,19.362127920100001,-99.251762991099994,Sport Corpus,19.361607459897009,-99.248324434399279,Gym,"0901000010864","0864","09","0001","010"
