ageb_key,ageb_folium,total_population,socioeconomic_indicator
12,9.01E+11,1775,125.4609283
27,9.01E+11,2565,121.4501244
31,9.01E+11,3604,183.2671467
46,9.01E+11,5634,248.0198202
50,9.01E+11,3894,205.6854103
65,9.01E+11,5788,217.5270042
84,9.01E+11,2844,182.0973258
99,9.01E+11,4239,211.7606613
101,9.01E+11,1531,122.530567
116,9.01E+11,4258,223.08118560000003
135,9.01E+11,10874,116.8173039
14987,090100001014A,4571,179.3843867
169,9.01E+11,3008,205.038428
173,9.01E+11,4751,185.1927778
188,9.01E+11,666,92.01609724
192,9.01E+11,742,137.01441519999997
205,9.01E+11,528,72.41613074
21987,090100001021A,644,75.61787987
224,9.01E+11,542,95.44624291
239,9.01E+11,1105,113.06246090000002
243,9.01E+11,8431,186.2029049
258,9.01E+11,737,99.06743767
262,9.01E+11,494,63.75236566
277,9.01E+11,461,71.58322923
281,9.01E+11,302,224.4269648
296,9.01E+11,2944,169.6414534
309,9.01E+11,3676,182.0105225
313,9.01E+11,6163,214.8043515
328,9.01E+11,8046,199.6956444
332,9.01E+11,4733,208.2523766
347,9.01E+11,3766,228.5933294
351,9.01E+11,4317,200.0686046
370,9.01E+11,3291,232.2267866
385,9.01E+11,3167,223.9452309
417,9.01E+11,2247,70.5229305
421,9.01E+11,5967,207.6992726
440,9.01E+11,5038,239.41934190000003
455,9.01E+11,3372,158.9536667
474,9.01E+11,10511,207.4079135
489,9.01E+11,4135,189.7220213
493,9.01E+11,4770,182.7831741
506,9.01E+11,2998,217.667969
510,9.01E+11,2980,134.2014034
525,9.01E+11,2289,123.7459361
53987,090100001053A,4970,186.8927813
544,9.01E+11,2845,153.7983523
559,9.01E+11,2180,90.69715223
563,9.01E+11,9360,185.6835161
578,9.01E+11,6934,177.2652875
597,9.01E+11,3985,184.167632
60987,090100001060A,2701,167.07392990000002
614,9.01E+11,2005,125.5280705
629,9.01E+11,2676,130.1081462
633,9.01E+11,1894,126.765124
648,9.01E+11,1627,45.96162102
667,9.01E+11,4771,195.3557998
671,9.01E+11,2991,72.61031833
686,9.01E+11,2637,66.56982641
690,9.01E+11,3828,117.3198557
703,9.01E+11,1922,93.8711714
718,9.01E+11,969,95.12669682
722,9.01E+11,2256,97.13300474
737,9.01E+11,673,98.26912232
741,9.01E+11,3406,183.4664966
756,9.01E+11,1502,101.9676282
760,9.01E+11,849,91.52493455
775,9.01E+11,1461,93.01074914
78987,090100001078A,1147,95.13767196
794,9.01E+11,773,77.04700068
807,9.01E+11,1904,92.09524972
811,9.01E+11,1054,68.03389622
826,9.01E+11,845,121.5941752
830,9.01E+11,898,92.84671967
845,9.01E+11,1408,147.2172417
864,9.01E+11,5690,211.3665918
898,9.01E+11,2312,137.6258241
900,9.01E+11,2599,180.0926267
915,9.01E+11,2984,67.81826246
92987,090100001092A,2254,152.1231962
949,9.01E+11,1034,75.23014612
953,9.01E+11,1750,95.20310904
968,9.01E+11,3285,121.45529109999998
972,9.01E+11,2568,91.42857379
987,9.01E+11,1716,103.227699
991,9.01E+11,2654,80.04100395
1006,9.01E+11,2732,92.44258695
1010,9.01E+11,2560,109.3303068
1025,9.01E+11,474,121.8159248
103987,090100001103A,2103,128.9327938
1044,9.01E+11,3097,114.1023663
1059,9.01E+11,2673,90.93133898
1063,9.01E+11,2508,82.43420132
1078,9.01E+11,6026,188.9994486
110987,090100001110A,3552,112.9212107
1114,9.01E+11,1159,99.95344378
1129,9.01E+11,1370,107.1652593
1133,9.01E+11,2019,84.35339635
1148,9.01E+11,5113,68.13180974
1152,9.01E+11,2678,72.25039491
1171,9.01E+11,13351,151.4959428
1186,9.01E+11,3068,131.2262689
1190,9.01E+11,3184,133.0193355
1203,9.01E+11,248,122.3716356
