ageb_key,ageb_folium,total_population,socioeconomic_indicator
1218,9.01E+11,1652,110.1163807
1222,9.01E+11,4162,144.78125369999995
1237,9.01E+11,4047,124.8725729
1241,9.01E+11,4498,100.4833291
1260,9.01E+11,3368,108.5110585
1275,9.01E+11,2870,63.98718173
128987,090100001128A,2332,93.27718771
1294,9.01E+11,3232,81.79799643
1307,9.01E+11,2015,95.45774857
1330,9.01E+11,7665,199.2499729
1345,9.01E+11,7849,209.939801
135987,090100001135A,6529,214.1864063
1364,9.01E+11,5744,215.6680714
1379,9.01E+11,904,124.3503334
1434,9.01E+11,5422,178.9602622
1453,9.01E+11,5214,246.3702507
1468,9.01E+11,2505,248.8786807
1472,9.01E+11,4214,238.3830379
1487,9.01E+11,4207,235.1761435
1519,9.01E+11,4697,208.6339248
1523,9.01E+11,3673,229.9159266
1542,9.01E+11,1642,62.0506663
1557,9.01E+11,6184,207.3548029
1561,9.01E+11,2642,277.521911
1580,9.01E+11,6923,195.4393136
1595,9.01E+11,5743,222.8594187
1627,9.01E+11,5687,203.5330707
1631,9.01E+11,5312,204.284517
1646,9.01E+11,5279,212.8298469
1650,9.01E+11,4960,215.0017458
1665,9.01E+11,2702,195.6426698
167987,090100001167A,7452,204.8938083
1684,9.01E+11,4995,170.2078877
1699,9.01E+11,6677,180.0583238
1716,9.01E+11,7029,250.7551048
1720,9.01E+11,3014,287.0993617000001
1735,9.01E+11,8419,245.1638434
174987,090100001174A,8319,251.3039352
1754,9.01E+11,2888,256.9842658
1769,9.01E+11,7285,216.4452128
1773,9.01E+11,4657,194.3318573
1788,9.01E+11,4201,215.001226
1792,9.01E+11,2952,193.748039
1805,9.01E+11,3887,201.0423949
181987,090100001181A,5583,214.8376457
1824,9.01E+11,5001,217.5865763
1839,9.01E+11,5213,210.9899977
1843,9.01E+11,7999,185.6146638
1858,9.01E+11,10926,120.4930486
1881,9.01E+11,3364,73.57679773
1913,9.01E+11,3857,161.8119105
1928,9.01E+11,2324,97.63145795
1932,9.01E+11,2541,259.8098944
1947,9.01E+11,4512,157.8356744
1951,9.01E+11,4701,268.7603421
1966,9.01E+11,3288,160.3119813
1970,9.01E+11,4163,185.0468378
1985,9.01E+11,4261,250.3288382
199987,090100001199A,3391,221.2054377
2019,9.01E+11,2998,219.9073326
2023,9.01E+11,3993,223.2495441
2038,9.01E+11,3684,227.141595
2042,9.01E+11,3732,238.8737807
2057,9.01E+11,4586,210.7340903
2061,9.01E+11,6415,114.4209099
2076,9.01E+11,2688,189.0227562
2080,9.01E+11,2599,121.4484525
2095,9.01E+11,5291,181.78564430000003
2108,9.01E+11,4291,201.8371704
2112,9.01E+11,9556,198.5178628
2131,9.01E+11,1847,127.7872514
2146,9.01E+11,2652,160.03302680000004
2150,9.01E+11,4498,157.92684609999995
2165,9.01E+11,3529,198.04552980000003
2184,9.01E+11,2501,202.27726840000003
2199,9.01E+11,5227,202.15394780000003
2201,9.01E+11,2830,197.0252468
2216,9.01E+11,3253,257.3140859
2220,9.01E+11,3397,230.9450786
2235,9.01E+11,4172,213.4775684
224987,090100001224A,3113,175.673733
2254,9.01E+11,4367,137.8848119
2269,9.01E+11,1758,181.5813558
2273,9.01E+11,52,254.3045138
2288,9.01E+11,5792,131.1294578
2292,9.01E+11,5342,148.83379159999996
2305,9.01E+11,3566,256.5834922
231987,090100001231A,2784,179.791635
2324,9.01E+11,2789,210.0863027
2339,9.01E+11,2303,95.34346539
2343,9.01E+11,5393,245.0409297
2358,9.01E+11,2250,60.20442643
2362,9.01E+11,2390,158.9884274
2377,9.01E+11,2563,117.159387
2381,9.01E+11,61,395.1404627
