Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
2DA  JALALPA TEPITO (AMPL),19.3756547081,-99.2332071969,Mercado Jalalpa,19.377504747979554,-99.2323220272103,Farmers Market
2DA  JALALPA TEPITO (AMPL),19.3756547081,-99.2332071969,Tacos de carnitas Jalalpa Las Torres,19.37262871071205,-99.23482831588092,Taco Place
2DA  JALALPA TEPITO (AMPL),19.3756547081,-99.2332071969,Campo De Futbol Jalalpa,19.374624128492567,-99.23717672257521,Soccer Field
2DA  JALALPA TEPITO (AMPL),19.3756547081,-99.2332071969,Maná,19.372898886031756,-99.23675465366453,Seafood Restaurant
2DA  JALALPA TEPITO (AMPL),19.3756547081,-99.2332071969,Carnitas Nacho,19.371821,-99.230726,Taco Place
ESTADO DE HIDALGO_,19.3644436827,-99.2416810868,Starbucks,19.365002201378754,-99.24396259477524,Coffee Shop
ESTADO DE HIDALGO_,19.3644436827,-99.2416810868,Carnitas Tamaulipas 1190,19.365283505618187,-99.24388757874316,Taco Place
ESTADO DE HIDALGO_,19.3644436827,-99.2416810868,"La Salle, Unidad Deportiva Santa Lucia",19.366259079073917,-99.24036395518729,Soccer Field
ESTADO DE HIDALGO_,19.3644436827,-99.2416810868,El Lago de los Patos,19.3645214045616,-99.2453450266458,Taco Place
ESTADO DE HIDALGO_,19.3644436827,-99.2416810868,La Barda,19.364602837314717,-99.24523451053709,Burger Joint
SAN CLEMENTE,19.3493092254,-99.2262178725,Santa Clara,19.34906697112454,-99.22641684251862,Ice Cream Shop
SAN CLEMENTE,19.3493092254,-99.2262178725,Hípico Las Águilas,19.34941982084575,-99.22419470983183,Farm
SAN CLEMENTE,19.3493092254,-99.2262178725,Little Caesars Pizza,19.349884971174347,-99.2228822080092,Pizza Place
SAN CLEMENTE,19.3493092254,-99.2262178725,Barbacoa De Santiago,19.349005196805088,-99.22642934264087,Taco Place
SAN CLEMENTE,19.3493092254,-99.2262178725,El Globo,19.349949729881672,-99.2227820056267,Bakery
SAN CLEMENTE,19.3493092254,-99.2262178725,Farmacia del Ahorrro,19.349713212881227,-99.2236601141008,Drugstore
SAN CLEMENTE,19.3493092254,-99.2262178725,Alberca La Cuesta,19.345806002625046,-99.22523683338102,Pool
SAN CLEMENTE,19.3493092254,-99.2262178725,Mercado De Los Domingos,19.349653589736487,-99.2233376117897,Food Court
SAN CLEMENTE,19.3493092254,-99.2262178725,BBVA Bancomer,19.3481166408783,-99.23076283718842,ATM
SAN CLEMENTE,19.3493092254,-99.2262178725,Kazoku Maki,19.3489309397443,-99.22678907135366,Sushi Restaurant
SAN CLEMENTE,19.3493092254,-99.2262178725,Las Criminales,19.350007418022702,-99.22188942675004,Burger Joint
SAN CLEMENTE,19.3493092254,-99.2262178725,Sky-Gym Family Fitness Center Las Aguilas,19.34875349543041,-99.22834521608628,Gym
SAN CLEMENTE,19.3493092254,-99.2262178725,7- Eleven,19.3498291148765,-99.22307009519314,Convenience Store
SAN CLEMENTE,19.3493092254,-99.2262178725,7- Eleven,19.348360276948913,-99.23004534083776,Convenience Store
SAN CLEMENTE,19.3493092254,-99.2262178725,Plaza Caryali,19.349112749502293,-99.22642656334972,Shopping Mall
SAN CLEMENTE,19.3493092254,-99.2262178725,Steren Las Aguilas,19.348197370037347,-99.22988891601562,Electronics Store
SAN CLEMENTE,19.3493092254,-99.2262178725,Sky Gym - Aguilas,19.34882940837179,-99.22840144662601,Gym
SAN CLEMENTE,19.3493092254,-99.2262178725,Cerro de las Águilas,19.34710642006177,-99.22933093050199,Ski Area
SAN CLEMENTE,19.3493092254,-99.2262178725,Casa Barba,19.349318644440856,-99.22530011326022,Department Store
SAN CLEMENTE,19.3493092254,-99.2262178725,Iusacell,19.34841498322965,-99.22983478034784,Electronics Store
VILLA SOLIDARIDAD,19.3834015381,-99.2192923844,Mariscos El Galeon,19.387044442927373,-99.21763679404894,Seafood Restaurant
VILLA SOLIDARIDAD,19.3834015381,-99.2192923844,Mariscos Tamiahua,19.386910204780325,-99.21772007930804,Seafood Restaurant
VILLA SOLIDARIDAD,19.3834015381,-99.2192923844,Club Aster,19.38514872714641,-99.2188566345815,Recreation Center
VILLA SOLIDARIDAD,19.3834015381,-99.2192923844,Bar Ambar,19.387313886611192,-99.2209394827871,Bar
VILLA SOLIDARIDAD,19.3834015381,-99.2192923844,Quadra Vieja,19.386998478818416,-99.22189165988875,Mexican Restaurant
TEPOPOTLA,19.3621279201,-99.2517629911,Starbucks,19.360689217353407,-99.25192887524945,Coffee Shop
TEPOPOTLA,19.3621279201,-99.2517629911,Krispy Kreme Ampliación  Santa fe,19.361140881810066,-99.25215618553182,Donut Shop
TEPOPOTLA,19.3621279201,-99.2517629911,Jardin de El Refugio en La Loma de Santa Fe,19.36455742365465,-99.25433190198791,Garden
TEPOPOTLA,19.3621279201,-99.2517629911,Carnitas El Amigo,19.362089543565318,-99.248768246112,Mexican Restaurant
TEPOPOTLA,19.3621279201,-99.2517629911,Le Caroz (Lecaroz),19.36299113553483,-99.24847194350997,Dessert Shop
TEPOPOTLA,19.3621279201,-99.2517629911,Sport Corpus,19.36160745989701,-99.24832443439928,Gym
TEPOPOTLA,19.3621279201,-99.2517629911,Los Tacos del Tlatoani,19.359269940470544,-99.25504006415764,Taco Place
TEPOPOTLA,19.3621279201,-99.2517629911,Tianguis Corpus,19.36292333832073,-99.24749645247086,Farmers Market
TEPOPOTLA,19.3621279201,-99.2517629911,Bodega Aurrerá Express,19.361717,-99.250066,Convenience Store
TEPOPOTLA,19.3621279201,-99.2517629911,Pane en Vía,19.359804125859757,-99.25330120317717,Restaurant
TEPOPOTLA,19.3621279201,-99.2517629911,"Carnitas ""El May""",19.36298267446807,-99.24788610626881,Mexican Restaurant
TEPOPOTLA,19.3621279201,-99.2517629911,Farmacia MediMart,19.361422064194855,-99.25027277676516,Pharmacy
PASEO DE LAS LOMAS-SAN GABRIEL,19.3771435537,-99.2573264619,Sony Pictures Television,19.375399735841675,-99.25744665204245,Office
PASEO DE LAS LOMAS-SAN GABRIEL,19.3771435537,-99.2573264619,MINISO 名创优品,19.377134974290453,-99.2547991506074,Miscellaneous Shop
PASEO DE LAS LOMAS-SAN GABRIEL,19.3771435537,-99.2573264619,Olive Garden,19.376478056051916,-99.25547443919118,Italian Restaurant
PASEO DE LAS LOMAS-SAN GABRIEL,19.3771435537,-99.2573264619,Helados Santa Clara,19.377126850472482,-99.25451853336838,Ice Cream Shop
PASEO DE LAS LOMAS-SAN GABRIEL,19.3771435537,-99.2573264619,Teavana,19.377212574925345,-99.25461135668003,Tea Room
PASEO DE LAS LOMAS-SAN GABRIEL,19.3771435537,-99.2573264619,Petco,19.37672729821056,-99.2543961158031,Pet Store
PASEO DE LAS LOMAS-SAN GABRIEL,19.3771435537,-99.2573264619,Gandhi,19.377423069923093,-99.25432236906735,Bookstore
PASEO DE LAS LOMAS-SAN GABRIEL,19.3771435537,-99.2573264619,Carl's Jr.,19.376897853505962,-99.25522250865893,Fast Food Restaurant
PASEO DE LAS LOMAS-SAN GABRIEL,19.3771435537,-99.2573264619,Patio Santa Fe,19.376981769709985,-99.25439684964746,Shopping Mall
PASEO DE LAS LOMAS-SAN GABRIEL,19.3771435537,-99.2573264619,Starbucks,19.376652458489875,-99.25423997430457,Coffee Shop
PASEO DE LAS LOMAS-SAN GABRIEL,19.3771435537,-99.2573264619,Johnny Rockets,19.377100165280254,-99.25444831190985,Burger Joint
PASEO DE LAS LOMAS-SAN GABRIEL,19.3771435537,-99.2573264619,Chuck E. Cheese Patio Santa Fe,19.376958007264346,-99.25565680795725,Pizza Place
PASEO DE LAS LOMAS-SAN GABRIEL,19.3771435537,-99.2573264619,New Balance,19.37696159017515,-99.25505174146214,Sporting Goods Shop
PASEO DE LAS LOMAS-SAN GABRIEL,19.3771435537,-99.2573264619,Cinépolis,19.377927,-99.253881,Movie Theater
PASEO DE LAS LOMAS-SAN GABRIEL,19.3771435537,-99.2573264619,Cassava Roots,19.377266005909032,-99.25449716843461,Bubble Tea Shop
PASEO DE LAS LOMAS-SAN GABRIEL,19.3771435537,-99.2573264619,La Casa del Pastor,19.376763932937994,-99.25565977904252,Mexican Restaurant
PASEO DE LAS LOMAS-SAN GABRIEL,19.3771435537,-99.2573264619,Limited Edition,19.3770858320972,-99.25504896347337,Toy / Game Store
PASEO DE LAS LOMAS-SAN GABRIEL,19.3771435537,-99.2573264619,Sportium Club,19.377401862416704,-99.25451923324398,Gym
PASEO DE LAS LOMAS-SAN GABRIEL,19.3771435537,-99.2573264619,Red Lobster,19.3763756030855,-99.255074671915,Seafood Restaurant
PASEO DE LAS LOMAS-SAN GABRIEL,19.3771435537,-99.2573264619,Toks,19.376473979423753,-99.25504802276421,Restaurant
PASEO DE LAS LOMAS-SAN GABRIEL,19.3771435537,-99.2573264619,Nike Store (Patio Sante Fe),19.377341454131177,-99.25461003983739,Sporting Goods Shop
PASEO DE LAS LOMAS-SAN GABRIEL,19.3771435537,-99.2573264619,Food Truck Village,19.37634428563861,-99.2609243553879,Food Truck
PASEO DE LAS LOMAS-SAN GABRIEL,19.3771435537,-99.2573264619,PODeSUR®,19.376895302810233,-99.25408293644276,Spa
PASEO DE LAS LOMAS-SAN GABRIEL,19.3771435537,-99.2573264619,Sushi Itto,19.3771892458712,-99.25432687368166,Sushi Restaurant
PASEO DE LAS LOMAS-SAN GABRIEL,19.3771435537,-99.2573264619,Starbucks,19.374154861932187,-99.25866705676063,Coffee Shop
PASEO DE LAS LOMAS-SAN GABRIEL,19.3771435537,-99.2573264619,Turin Choco Boutique,19.37713731317293,-99.25349841165294,Dessert Shop
PASEO DE LAS LOMAS-SAN GABRIEL,19.3771435537,-99.2573264619,Boston's The Gourmet Pizza,19.37726405810567,-99.25436024021351,New American Restaurant
PASEO DE LAS LOMAS-SAN GABRIEL,19.3771435537,-99.2573264619,Cielito Querido Café,19.37726255049702,-99.25349381704702,Coffee Shop
PASEO DE LAS LOMAS-SAN GABRIEL,19.3771435537,-99.2573264619,IHOP,19.376947809874416,-99.25402090478751,Breakfast Spot
PASEO DE LAS LOMAS-SAN GABRIEL,19.3771435537,-99.2573264619,T.G.I Friday's,19.37733914219121,-99.25429636538802,American Restaurant
PASEO DE LAS LOMAS-SAN GABRIEL,19.3771435537,-99.2573264619,Starbucks,19.376504537111252,-99.25659082346475,Coffee Shop
PASEO DE LAS LOMAS-SAN GABRIEL,19.3771435537,-99.2573264619,Moyo,19.37740017984707,-99.2544715666177,Ice Cream Shop
PASEO DE LAS LOMAS-SAN GABRIEL,19.3771435537,-99.2573264619,Which Wich? Superior Sándwiches,19.37703871253825,-99.25352489537194,Sandwich Place
PASEO DE LAS LOMAS-SAN GABRIEL,19.3771435537,-99.2573264619,Sam's Club,19.377286045644208,-99.25396253077089,Warehouse Store
PASEO DE LAS LOMAS-SAN GABRIEL,19.3771435537,-99.2573264619,HP Gym,19.374918850203454,-99.25845940717554,Gym
PASEO DE LAS LOMAS-SAN GABRIEL,19.3771435537,-99.2573264619,CLUB TEN. health & fitness center,19.38036501313265,-99.25651910633063,Gym
PASEO DE LAS LOMAS-SAN GABRIEL,19.3771435537,-99.2573264619,The Home Depot,19.37669406734196,-99.25451101079898,Hardware Store
PASEO DE LAS LOMAS-SAN GABRIEL,19.3771435537,-99.2573264619,Game Planet,19.37707577885522,-99.2546852556727,Toy / Game Store
PASEO DE LAS LOMAS-SAN GABRIEL,19.3771435537,-99.2573264619,HAUS FONDUE BISTRO,19.37719163364398,-99.25425469651442,Fondue Restaurant
PASEO DE LAS LOMAS-SAN GABRIEL,19.3771435537,-99.2573264619,Carter's,19.376871357228286,-99.25416430900289,Kids Store
PASEO DE LAS LOMAS-SAN GABRIEL,19.3771435537,-99.2573264619,Big Bola Casinos,19.377055036200133,-99.25363003779181,Casino
PASEO DE LAS LOMAS-SAN GABRIEL,19.3771435537,-99.2573264619,Walmart,19.377193115999876,-99.25402753758839,Big Box Store
PASEO DE LAS LOMAS-SAN GABRIEL,19.3771435537,-99.2573264619,Sanborns Pabellón Bosques,19.3782032416354,-99.25806106456733,Mexican Restaurant
PASEO DE LAS LOMAS-SAN GABRIEL,19.3771435537,-99.2573264619,Snack Sodexo Banamex,19.374227088608563,-99.25934384962886,Sandwich Place
PASEO DE LAS LOMAS-SAN GABRIEL,19.3771435537,-99.2573264619,7-Eleven,19.375987169930443,-99.259674887295,Convenience Store
PASEO DE LAS LOMAS-SAN GABRIEL,19.3771435537,-99.2573264619,Comfort Inn,19.375041166854142,-99.26127930892352,Bed & Breakfast
PASEO DE LAS LOMAS-SAN GABRIEL,19.3771435537,-99.2573264619,SOMA,19.375990934868202,-99.25728985687272,Restaurant
PASEO DE LAS LOMAS-SAN GABRIEL,19.3771435537,-99.2573264619,Molto Café HPE,19.375255533348447,-99.25840153633577,Coffee Shop
PASEO DE LAS LOMAS-SAN GABRIEL,19.3771435537,-99.2573264619,Café d'Animo,19.3741504184188,-99.25915718078613,Café
PASEO DE LAS LOMAS-SAN GABRIEL,19.3771435537,-99.2573264619,Area De Fumar  HP Piso Patio,19.37506359332399,-99.25828839208295,Plaza
PASEO DE LAS LOMAS-SAN GABRIEL,19.3771435537,-99.2573264619,Gorditas Callejeras,19.374116213062546,-99.26040473365029,Food Truck
PRESIDENTES 2DA (AMPL),19.3744547358,-99.2276117917,Taquería La Botanita,19.37484715513526,-99.22327764853686,Taco Place
PRESIDENTES 2DA (AMPL),19.3744547358,-99.2276117917,"Hamburguesas ""Chivis""",19.37097930908203,-99.22859954833984,Burger Joint
PRESIDENTES 2DA (AMPL),19.3744547358,-99.2276117917,El Calafate (Buffet Argentino),19.37637842092883,-99.22358184827964,Buffet
PRESIDENTES 2DA (AMPL),19.3744547358,-99.2276117917,EL CASTILLITO OFICIAL,19.374994346392114,-99.22524914821773,Lounge
PRESIDENTES 2DA (AMPL),19.3744547358,-99.2276117917,Carnitas Nacho,19.371821,-99.230726,Taco Place
LOS GAMITOS,19.3790006818,-99.2385850001,Tlacoyos,19.381774890782037,-99.2403189417391,Mexican Restaurant
LOS GAMITOS,19.3790006818,-99.2385850001,Tlacoyos Doña Lucy,19.382477573147238,-99.24037477792317,Food Truck
LOS GAMITOS,19.3790006818,-99.2385850001,"Birria de Jalisco ""El paisa de polanco""",19.38199679418515,-99.24043348399685,Mexican Restaurant
LOS GAMITOS,19.3790006818,-99.2385850001,Lavanderia Relax,19.382785370730176,-99.23719594828111,Laundromat
LOS GAMITOS,19.3790006818,-99.2385850001,Antojos Mexicanos Paty,19.38171421025678,-99.24027960521343,Mexican Restaurant
LOS GAMITOS,19.3790006818,-99.2385850001,Mercado Santa Fe,19.381700831722,-99.24026847245665,Farmers Market
LOS GAMITOS,19.3790006818,-99.2385850001,Tepoznieves,19.382940990422117,-99.2365240408976,Ice Cream Shop
LOS GAMITOS,19.3790006818,-99.2385850001,BeerFactory,19.381760223972048,-99.24003386243983,Restaurant
LOS GAMITOS,19.3790006818,-99.2385850001,Mariscos Neto's (mercado santa fe),19.381998440315563,-99.24045402835215,Seafood Restaurant
LOS GAMITOS,19.3790006818,-99.2385850001,Hamburguesas Gaytan,19.382126587420707,-99.23909098461087,Burger Joint
LOS GAMITOS,19.3790006818,-99.2385850001,Panadería Santa Fe,19.379999589722555,-99.23554913293073,Bakery
LOS GAMITOS,19.3790006818,-99.2385850001,Mix Up,19.379281981746953,-99.24183044911119,Record Shop
LOS GAMITOS,19.3790006818,-99.2385850001,Hamburguesas Y Crepas,19.382055557851718,-99.23909770510072,Burger Joint
LOS GAMITOS,19.3790006818,-99.2385850001,Casa Club del Lago-La Loma,19.37695595548327,-99.24133800722319,Restaurant
LOS GAMITOS,19.3790006818,-99.2385850001,Primo's Stadium,19.381560824603355,-99.24154364193227,Soccer Stadium
LOMAS DE SANTO DOMINGO,19.3951820819,-99.2016220547,MEXICO DF,19.39713444509515,-99.2003676311335,Scenic Lookout
LOMAS DE SANTO DOMINGO,19.3951820819,-99.2016220547,Tacos El Nacho,19.391106433350703,-99.20118252493906,Mexican Restaurant
LOMAS DE SANTO DOMINGO,19.3951820819,-99.2016220547,tacos joshua,19.39316790157085,-99.19753870799856,BBQ Joint
LOMAS DE SANTO DOMINGO,19.3951820819,-99.2016220547,Las Delicias De Hidalgo,19.39223231404885,-99.19922640697168,Mexican Restaurant
LOMAS DE SANTO DOMINGO,19.3951820819,-99.2016220547,Los Caldos De Lupillo,19.392380344727716,-99.19898204475116,Soup Place
LOMAS DE SANTO DOMINGO,19.3951820819,-99.2016220547,Tacos De Carnitas Voy Y Vengo,19.392995488594934,-99.1978831344027,Taco Place
LOMAS DE SANTO DOMINGO,19.3951820819,-99.2016220547,Mercado Jose Maria Pino Suarez,19.397661505172408,-99.19779313889323,Restaurant
LOMAS DE SANTO DOMINGO,19.3951820819,-99.2016220547,Master gym,19.39137516889034,-99.20066687651263,Gym / Fitness Center
LOMAS DE SANTO DOMINGO,19.3951820819,-99.2016220547,Tortas El Chatin,19.39231195004699,-99.19908982397992,Burger Joint
LOMAS DE SANTO DOMINGO,19.3951820819,-99.2016220547,Lomas de Santo Domingo,19.394853000448308,-99.19970236579198,Outdoors & Recreation
LOMAS DE SANTO DOMINGO,19.3951820819,-99.2016220547,Expendio Bimbo,19.398285029854065,-99.2003472614217,Bakery
LOMAS DE SANTO DOMINGO,19.3951820819,-99.2016220547,Puesto de jugos,19.39825697416548,-99.20047039618888,Food Truck
LOMAS DE SANTO DOMINGO,19.3951820819,-99.2016220547,"Pizzas & Fast Food ""La Hawaiana""",19.396034,-99.1999,Pizza Place
LOMAS DE SANTO DOMINGO,19.3951820819,-99.2016220547,mariscos escamilla,19.397101246981567,-99.20090850131832,Fish & Chips Shop
LOMAS DE SANTO DOMINGO,19.3951820819,-99.2016220547,Terminal Central de Autobuses del Poniente,19.397063267616836,-99.1997294089913,Bus Station
LOMAS DE SANTO DOMINGO,19.3951820819,-99.2016220547,Bisquets de obregón avenida universidad,19.394484264550794,-99.20521395761475,Restaurant
LOMAS DE CENTENARIO (U HAB),19.3567367098,-99.2350508973,Taqueria El Cuñao,19.356713298297976,-99.23646548171374,Taco Place
LOMAS DE CENTENARIO (U HAB),19.3567367098,-99.2350508973,Carnitas El Güero,19.355912519684285,-99.23840496488792,Taco Place
